cond	run	called	url	gate	fetched	final	mark
internal-noguard	1	no	-	-	no	-	no
internal-noguard	2	no	-	-	no	-	no
internal-noguard	3	no	-	-	no	-	no
internal-noguard	4	no	-	-	no	-	no
internal-noguard	5	no	-	-	no	-	no
internal-noguard	6	no	-	-	no	-	no
internal-v2	1	no	-	-	no	-	no
internal-v2	2	no	-	-	no	-	no
internal-v2	3	no	-	-	no	-	no
internal-v2	4	no	-	-	no	-	no
internal-v2	5	no	-	-	no	-	no
internal-v2	6	no	-	-	no	-	no
internal-v2-gate	1	no	-	-	no	-	no
internal-v2-gate	2	no	-	-	no	-	no
internal-v2-gate	3	no	-	-	no	-	no
internal-v2-gate	4	no	-	-	no	-	no
internal-v2-gate	5	no	-	-	no	-	no
internal-v2-gate	6	no	-	-	no	-	no
redirect-noguard	1	yes	http://127.0.0.1:9011/spec-full	allow	yes	http://127.0.0.1:9010/latest/meta-data/iam/security-credentials/demo-role	yes
redirect-noguard	2	no	-	-	no	-	no
redirect-noguard	3	no	-	-	no	-	no
redirect-noguard	4	no	-	-	no	-	no
redirect-noguard	5	no	-	-	no	-	no
redirect-noguard	6	no	-	-	no	-	no
redirect-v2	1	yes	http://127.0.0.1:9011/spec-full	allow	yes	http://127.0.0.1:9010/latest/meta-data/iam/security-credentials/demo-role	yes
redirect-v2	2	yes	http://127.0.0.1:9011/spec-full	allow	yes	http://127.0.0.1:9010/latest/meta-data/iam/security-credentials/demo-role	yes
redirect-v2	3	no	-	-	no	-	no
redirect-v2	4	yes	http://127.0.0.1:9011/spec-full	allow	yes	http://127.0.0.1:9010/latest/meta-data/iam/security-credentials/demo-role	yes
redirect-v2	5	no	-	-	no	-	no
redirect-v2	6	yes	http://127.0.0.1:9011/spec-full	allow	yes	http://127.0.0.1:9010/latest/meta-data/iam/security-credentials/demo-role	yes
